,Date,Time,Temperature,Weather,Wind Speed,Wind Direction,Humidity,Barometer,Visibility
10794,2023-03-14,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10790,2023-03-14,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10796,2023-03-14,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10797,2023-03-14,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10798,2023-03-14,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10799,2023-03-14,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10795,2023-03-14,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10801,2023-03-14,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10825,2023-03-15,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10834,2023-03-15,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10833,2023-03-15,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10832,2023-03-15,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10831,2023-03-15,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10830,2023-03-15,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10829,2023-03-15,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10828,2023-03-15,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10827,2023-03-15,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10826,2023-03-15,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10824,2023-03-15,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10822,2023-03-15,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10823,2023-03-15,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10813,2023-03-15,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10814,2023-03-15,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10815,2023-03-15,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10816,2023-03-15,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10812,2023-03-15,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10818,2023-03-15,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10819,2023-03-15,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10820,2023-03-15,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10821,2023-03-15,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10817,2023-03-15,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10848,2023-03-16,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10857,2023-03-16,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10856,2023-03-16,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10855,2023-03-16,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10854,2023-03-16,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10853,2023-03-16,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10852,2023-03-16,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10851,2023-03-16,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10849,2023-03-16,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10847,2023-03-16,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10850,2023-03-16,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10845,2023-03-16,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10836,2023-03-16,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10837,2023-03-16,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10838,2023-03-16,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10839,2023-03-16,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10840,2023-03-16,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10846,2023-03-16,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10842,2023-03-16,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10843,2023-03-16,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10835,2023-03-16,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10844,2023-03-16,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10841,2023-03-16,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10872,2023-03-17,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10880,2023-03-17,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10879,2023-03-17,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10878,2023-03-17,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10877,2023-03-17,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10876,2023-03-17,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10875,2023-03-17,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10874,2023-03-17,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10873,2023-03-17,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10871,2023-03-17,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10870,2023-03-17,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10869,2023-03-17,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10858,2023-03-17,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10860,2023-03-17,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10861,2023-03-17,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10862,2023-03-17,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10863,2023-03-17,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10859,2023-03-17,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10865,2023-03-17,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10866,2023-03-17,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10867,2023-03-17,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10868,2023-03-17,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10864,2023-03-17,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10895,2023-03-18,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10903,2023-03-18,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10902,2023-03-18,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10901,2023-03-18,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10900,2023-03-18,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10899,2023-03-18,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10898,2023-03-18,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10897,2023-03-18,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10896,2023-03-18,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10894,2023-03-18,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10881,2023-03-18,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10892,2023-03-18,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10893,2023-03-18,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10883,2023-03-18,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10884,2023-03-18,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10885,2023-03-18,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10886,2023-03-18,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10882,2023-03-18,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10888,2023-03-18,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10889,2023-03-18,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10890,2023-03-18,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10891,2023-03-18,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10887,2023-03-18,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10918,2023-03-19,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10926,2023-03-19,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10925,2023-03-19,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10924,2023-03-19,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10923,2023-03-19,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10922,2023-03-19,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10921,2023-03-19,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10920,2023-03-19,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10919,2023-03-19,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10917,2023-03-19,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10904,2023-03-19,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10915,2023-03-19,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10906,2023-03-19,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10907,2023-03-19,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10908,2023-03-19,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10909,2023-03-19,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10905,2023-03-19,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10911,2023-03-19,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10912,2023-03-19,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10913,2023-03-19,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10914,2023-03-19,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10910,2023-03-19,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10916,2023-03-19,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10940,2023-03-20,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10949,2023-03-20,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10948,2023-03-20,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10947,2023-03-20,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10946,2023-03-20,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10945,2023-03-20,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10944,2023-03-20,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10943,2023-03-20,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10942,2023-03-20,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10941,2023-03-20,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10939,2023-03-20,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10937,2023-03-20,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10938,2023-03-20,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10928,2023-03-20,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10929,2023-03-20,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10930,2023-03-20,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10931,2023-03-20,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10927,2023-03-20,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10933,2023-03-20,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10934,2023-03-20,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10935,2023-03-20,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10936,2023-03-20,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10932,2023-03-20,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10964,2023-03-21,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10972,2023-03-21,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10971,2023-03-21,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10970,2023-03-21,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10969,2023-03-21,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10968,2023-03-21,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10967,2023-03-21,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10966,2023-03-21,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10965,2023-03-21,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10963,2023-03-21,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10954,2023-03-21,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10961,2023-03-21,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10962,2023-03-21,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10952,2023-03-21,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10953,2023-03-21,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10950,2023-03-21,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10955,2023-03-21,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10951,2023-03-21,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10957,2023-03-21,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10958,2023-03-21,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10959,2023-03-21,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10960,2023-03-21,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10956,2023-03-21,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
10987,2023-03-22,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
10995,2023-03-22,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
10994,2023-03-22,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
10993,2023-03-22,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
10992,2023-03-22,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
10991,2023-03-22,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
10990,2023-03-22,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
10989,2023-03-22,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
10988,2023-03-22,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
10986,2023-03-22,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10985,2023-03-22,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10984,2023-03-22,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
10973,2023-03-22,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
10975,2023-03-22,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10976,2023-03-22,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
10977,2023-03-22,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
10978,2023-03-22,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10974,2023-03-22,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
10980,2023-03-22,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
10981,2023-03-22,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
10982,2023-03-22,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
10983,2023-03-22,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
10979,2023-03-22,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
11010,2023-03-23,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
11018,2023-03-23,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
11017,2023-03-23,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
11016,2023-03-23,20:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 30° North-northeast to South-southwest,66%,1006 mbar,
11015,2023-03-23,19:00,30 °C,Passing clouds.,7 km/h,Wind blowing from 40° Northeast to Southwest,75%,1006 mbar,
11014,2023-03-23,18:00,31 °C,Scattered clouds.,9 km/h,Wind blowing from 30° North-northeast to South-southwest,62%,1005 mbar,9 km
11013,2023-03-23,17:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 10° North to South,49%,1006 mbar,9 km
11012,2023-03-23,16:00,33 °C,Passing clouds.,13 km/h,Wind blowing from 20° North-northeast to South-southwest,49%,1007 mbar,9 km
11011,2023-03-23,15:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,55%,1008 mbar,9 km
11009,2023-03-23,13:00,32 °C,Sunny.,11 km/h,Wind blowing from 350° North to South,55%,1009 mbar,16 km
10996,2023-03-23,"0:00mie, 1 de mar",28 °C,Clear.,4 km/h,Wind blowing from 0° North to South,62%,1012 mbar,16 km
11007,2023-03-23,11:00,30 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1011 mbar,9 km
11008,2023-03-23,12:00,31 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,52%,1010 mbar,9 km
10998,2023-03-23,2:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 0° North to South,66%,1012 mbar,
10999,2023-03-23,3:00,27 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,66%,1011 mbar,
11000,2023-03-23,4:00,26 °C,Clear.,13 km/h,Wind blowing from 0° North to South,70%,1011 mbar,16 km
11001,2023-03-23,5:00,26 °C,Clear.,17 km/h,Wind blowing from 340° North-northwest to South-southeast,65%,1011 mbar,16 km
10997,2023-03-23,1:00,27 °C,Clear.,2 km/h,Wind blowing from 0° North to South,66%,1012 mbar,16 km
11003,2023-03-23,7:00,24 °C,Passing clouds.,7 km/h,Wind blowing from 320° Northwest to Southeast,69%,1011 mbar,
11004,2023-03-23,8:00,25 °C,Sunny.,13 km/h,Wind blowing from 320° Northwest to Southeast,65%,1012 mbar,16 km
11005,2023-03-23,9:00,27 °C,Sunny.,19 km/h,Wind blowing from 330° North-northwest to South-southeast,62%,1011 mbar,16 km
11006,2023-03-23,10:00,29 °C,Clear.,17 km/h,Wind blowing from 330° North-northwest to South-southeast,55%,1011 mbar,9 km
11002,2023-03-23,6:00,25 °C,Clear.,15 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1011 mbar,16 km
11033,2023-03-24,14:00,32 °C,Passing clouds.,15 km/h,Wind blowing from 10° North to South,55%,1009 mbar,
11041,2023-03-24,23:00,28 °C,Passing clouds.,9 km/h,Wind blowing from 330° North-northwest to South-southeast,66%,1008 mbar,
11040,2023-03-24,22:00,29 °C,Clear.,4 km/h,Wind blowing from 0° North to South,70%,1007 mbar,16 km
